country	countryLabel	state	stateLabel
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q176	Quebec
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q1904	Ontario
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q1948	Manitoba
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q1951	Alberta
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q1952	Nova Scotia
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q1965	New Brunswick
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q1973	British Columbia
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q1978	Prince Edward Island
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q1989	Saskatchewan
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q2003	Newfoundland and Labrador
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q2007	Northwest Territories
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q2009	Yukon
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q2023	Nunavut
http://www.wikidata.org/entity/Q16	Canada	http://www.wikidata.org/entity/Q603676	District of Keewatin
http://www.wikidata.org/entity/Q17	Japan	http://www.wikidata.org/entity/Q1490	Tokyo
http://www.wikidata.org/entity/Q17	Japan	http://www.wikidata.org/entity/Q15701	Kagoshima Prefecture
http://www.wikidata.org/entity/Q17	Japan	http://www.wikidata.org/entity/Q44843	Tochigi Prefecture
http://www.wikidata.org/entity/Q17	Japan	http://www.wikidata.org/entity/Q47896	Miyagi Prefecture
http://www.wikidata.org/entity/Q17	Japan	http://www.wikidata.org/entity/Q48326	Iwate Prefecture
http://www.wikidata.org/entity/Q17	Japan	http://www.wikidata.org/entity/Q71699	Aomori Prefecture
http://www.wikidata.org/entity/Q17	Japan	http://www.wikidata.org/entity/Q71707	Fukushima Prefecture
http://www.wikidata.org/entity/Q17	Japan	http://www.wikidata.org/entity/Q80011	Chiba Prefecture
http://www.wikidata.org/entity/Q17	Japan	http://www.wikidata.org/entity/Q80434	Aichi Prefecture
http://www.wikidata.org/entity/Q17	Japan	http://www.wikidata.org/entity/Q81863	Akita Prefecture
